,Unnamed: 0,Unnamed: 0.1,node1,node2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,similarity,label,similarity_tfidf,similarity_top_5,similarity_top_100,similarity_top_250
0,631,631,67057,67068,11.884756458961801,44.0,2025.0,46.0,0.0,1,0.0,0.0,0.0,0.0
1,776,776,269510,31891,0.23868315209103,1.0,60.0,22.0,0.0,0,0.1276595744680851,0.20833333333333334,0.08053691275167785,0.07894736842105263
2,2869,2869,42697,57846,3.4525936770254906,10.0,308.0,29.0,0.0,1,0.0,0.0,0.0,0.0
3,2227,2227,32963,32964,5.32434022085387,15.0,256.0,17.0,0.0,1,0.0,0.0,0.0,0.0
4,3117,3117,51132,31892,0.169494474237384,1.0,1518.0,88.0,0.0,0,0.0,0.0,0.0,0.0
5,2513,2513,43185,58335,4.62540497358731,15.0,11570.0,204.0,0.0,1,0.11857707509881422,0.10126582278481013,0.05078125,0.050387596899224806
6,5233,5233,250706,31891,0.0,0.0,42.0,17.0,0.0,0,0.04381443298969072,0.013888888888888888,0.011363636363636364,0.011278195488721804
7,4084,4084,50636,50637,3.3448277312143304,9.0,180.0,19.0,0.0,1,0.0,0.0,0.0,0.0
8,264,264,213281,31892,0.0,0.0,396.0,72.0,0.0,0,0.0,0.0,0.0,0.0
9,3408,3408,58403,66792,6.967468661159461,23.0,5166.0,144.0,0.0,1,0.0,0.0,0.0,0.0
10,5336,5336,64164,64169,5.35273184279595,16.0,289.0,18.0,1.0,1,0.0,0.0,0.0,0.0
11,5070,5070,139826,31892,0.0,0.0,2310.0,101.0,0.0,0,0.0,0.0,0.0,0.0
12,4736,4736,64193,64194,4.49147876557425,11.0,144.0,13.0,1.0,1,0.0,0.0,0.0018181818181818182,0.0017825311942959
13,3015,3015,54612,54621,3.7628948634038095,9.0,100.0,11.0,0.0,1,0.0,0.0,0.0,0.0
14,2004,2004,64652,31892,0.254334778144042,1.0,1716.0,91.0,0.0,0,0.0,0.0,0.0,0.0
15,402,402,56267,56268,2.4769048209399,6.0,49.0,8.0,0.0,1,0.0,0.0,0.0,0.0
16,161,161,65329,65330,3.2427163484992003,8.0,90.0,11.0,0.0,1,1.0,1.0,1.0,1.0
17,3721,3721,239188,31891,0.0,0.0,33.0,14.0,0.0,0,0.0,0.0,0.0,0.0
18,1997,1997,229191,31892,0.0,0.0,1452.0,88.0,0.0,0,0.0,0.0,0.0,0.0
19,359,359,246372,31892,0.0,0.0,396.0,72.0,0.0,0,0.0,0.0,0.0,0.0
20,3536,3536,40713,53702,2.16404256133344,3.0,504.0,127.0,0.0,1,0.007905138339920948,0.012048192771084338,0.004032258064516129,0.00398406374501992
21,3466,3466,95249,31892,0.0,0.0,1584.0,90.0,0.0,0,0.0,0.0,0.0,0.0
22,1950,1950,35131,60265,3.7851432571080696,11.0,540.0,46.0,0.0,1,0.0,0.0,0.0,0.0
23,5160,5160,54879,54881,2.7463408485747403,5.0,42.0,8.0,0.0,1,0.1163141993957704,0.16766467065868262,0.08015267175572519,0.08014796547472257
24,2353,2353,159711,31892,0.764321001021014,3.0,396.0,69.0,0.0,0,0.0,0.0,0.0,0.0
25,4555,4555,32435,60671,2.95557432190708,7.0,144.0,19.0,0.0,1,0.0,0.0,0.0,0.0
26,3856,3856,60809,31892,0.232338493574117,1.0,594.0,74.0,0.0,0,0.0,0.0,0.0,0.0
27,2544,2544,43611,56902,2.6189229778324603,6.0,231.0,34.0,0.0,1,0.0,0.0,0.0,0.0
28,1948,1948,129899,31891,0.0,0.0,42.0,17.0,0.0,0,0.0,0.0,0.0,0.0
29,1221,1221,191127,31892,0.0,0.0,1188.0,84.0,0.0,0,0.0,0.0,0.0,0.0
30,1095,1095,60333,60336,1.5715152404763202,3.0,16.0,5.0,1.0,1,0.0,0.0,0.0,0.0
31,707,707,97613,31892,0.0,0.0,1188.0,84.0,0.0,0,0.0,0.0,0.0,0.0
32,2707,2707,58437,58442,5.124017303043789,14.0,2625.0,176.0,0.0,1,0.0,0.0,0.0,0.0
33,4703,4703,43019,31892,0.169494474237384,1.0,594.0,74.0,0.0,0,0.0,0.0,0.0,0.0
34,4458,4458,186124,31892,0.0,0.0,594.0,75.0,0.0,0,0.0,0.0,0.0,0.0
35,3145,3145,42864,42870,7.25731535758832,24.0,625.0,26.0,0.0,1,1.0,1.0,1.0,1.0
36,1418,1418,95779,31892,0.0,0.0,1782.0,93.0,0.0,0,0.0,0.0,0.0,0.0
37,5244,5244,43148,48009,3.4618118585328297,12.0,1131.0,88.0,0.0,1,0.0,0.0,0.0,0.0
38,1010,1010,64277,64284,8.210940025396,23.0,648.0,28.0,0.745519713261649,1,0.0,0.0,0.0,0.0
39,3654,3654,65254,65255,1.72869470839164,3.0,16.0,5.0,1.0,1,0.0,0.0,0.0,0.0
40,2583,2583,224147,31892,0.0,0.0,396.0,72.0,0.0,0,0.0,0.0,0.0,0.0
41,178,178,275590,31892,0.0,0.0,528.0,74.0,0.0,0,0.0,0.0,0.0,0.0
42,2470,2470,41833,41838,5.666090098290829,17.0,1188.0,67.0,0.0,1,0.0,0.0,0.0,0.0
43,2431,2431,43290,43292,1.68504075370877,4.0,25.0,6.0,1.0,1,0.0,0.0,0.0,0.0
44,2385,2385,42320,43055,4.1201467355372206,12.0,1184.0,57.0,0.0,1,0.0,0.0,0.0,0.0
45,2674,2674,216446,31892,0.0,0.0,2376.0,102.0,0.0,0,0.0,0.0,0.0,0.0
46,4800,4800,37513,37518,4.2201009553333995,11.0,144.0,13.0,0.0,1,1.0,1.0,1.0,1.0
47,1942,1942,40213,31892,0.0,0.0,858.0,79.0,0.0,0,0.0,0.0,0.0,0.0
48,3802,3802,243708,31892,0.0,0.0,528.0,74.0,0.0,0,0.0,0.0,0.0,0.0
49,4139,4139,62819,62959,3.94042566604574,10.0,10564.0,205.0,0.0,1,0.14285714285714285,0.12698412698412698,0.06097560975609756,0.05964214711729622
50,5019,5019,128466,31892,0.0,0.0,2772.0,108.0,0.0,0,0.0,0.0,0.0,0.0
