,Unnamed: 0,Unnamed: 0.1,node1,node2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,similarity,label,similarity_tfidf,similarity_top_5,similarity_top_100,similarity_top_250
0,3318,3318,153064,31891,0.0,0.0,78.0,29.0,0.0,0,0.12612612612612611,0.2345679012345679,0.08163265306122448,0.08045977011494253
1,4493,4493,146949,31892,0.0,0.0,594.0,75.0,0.0,0,0.0,0.0,0.0,0.0
2,10309,10309,167591,31892,0.0,0.0,528.0,74.0,0.0,0,0.0,0.0,0.0,0.0
3,6465,6465,44513,44518,2.986524103273,6.0,63.0,10.0,0.0,1,0.0,0.0,0.0,0.0
4,1907,1907,44875,44878,3.1724723392297705,8.0,81.0,10.0,0.0,1,1.0,1.0,1.0,1.0
5,4701,4701,75961,32390,0.0,0.0,918.0,69.0,0.0,0,0.03289473684210526,0.0,0.0,0.0
6,1403,1403,82482,82489,6.97048034640586,22.0,529.0,24.0,0.0,1,0.0,0.0,0.0,0.0
7,6237,6237,97321,97324,2.16404256133344,3.0,16.0,5.0,1.0,1,0.0,0.0,0.0,0.0
8,1048,1048,52547,31892,0.0,0.0,924.0,80.0,0.0,0,0.0,0.0,0.0,0.0
9,10169,10169,240507,31908,0.259730302172272,1.0,266.0,32.0,0.0,0,0.0,0.0,0.0,0.0
10,12340,12340,96777,101395,5.43392378287616,18.0,1972.0,79.0,0.0,1,0.0,0.0,0.0,0.0
11,8708,8708,94288,94290,3.24606067509993,8.0,81.0,10.0,0.0,1,0.0,0.0,0.0,0.0
12,12005,12005,98336,32390,0.0,0.0,522.0,47.0,0.0,0,0.0,0.0,0.0,0.0
13,4270,4270,114027,31908,0.0,0.0,475.0,44.0,0.0,0,0.0,0.0,0.0,0.0
14,10131,10131,61048,105103,7.132620220406411,23.0,672.0,29.0,0.0,1,0.0,0.0,0.0,0.0
15,7309,7309,95981,95988,2.16404256133344,3.0,24.0,7.0,1.0,1,0.0,0.0,0.0,0.0
16,11349,11349,99236,99237,7.59978568208184,25.0,676.0,27.0,0.0,1,0.4,0.43333333333333335,0.375,0.3867924528301887
17,1988,1988,39995,42295,2.16404256133344,3.0,76.0,20.0,0.0,1,0.14615384615384616,0.2127659574468085,0.07005253940455342,0.06956521739130435
18,2268,2268,105721,105723,9.349539829410539,35.0,1296.0,37.0,0.0,1,0.3961038961038961,0.4230769230769231,0.32142857142857145,0.32167832167832167
19,10679,10679,135108,32390,0.0,0.0,108.0,24.0,0.0,0,0.0,0.0,0.0,0.0
20,9394,9394,60903,31892,0.254334778144042,1.0,1716.0,91.0,0.0,0,0.0,0.0,0.0,0.0
21,3015,3015,205743,32275,0.0,0.0,64.0,20.0,0.0,0,0.0,0.0,0.0,0.0
22,867,867,57362,31892,0.0,0.0,1188.0,84.0,0.0,0,0.0,0.0,0.0,0.0
23,8498,8498,45659,31892,0.0,0.0,396.0,72.0,0.0,0,0.0,0.0,0.0,0.0
24,10523,10523,59007,59015,4.82003660068881,13.0,644.0,47.0,0.0,1,0.0,0.0,0.0,0.0
25,5660,5660,69952,70079,4.33824456663355,12.0,286.0,23.0,0.0,1,0.10576923076923077,0.030303030303030304,0.02247191011235955,0.02247191011235955
