,Unnamed: 0,Unnamed: 0.1,node1,node2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,similarity,label,similarity_tfidf,similarity_top_5,similarity_top_100,similarity_top_250
0,2644,2644,88449,31892,0.0,0.0,3168.0,114.0,0.0,0,0.0,0.0,0.0,0.0
1,1760,1760,195075,31892,0.0,0.0,1650.0,91.0,0.0,0,0.0,0.0,0.0,0.0
2,68,68,54507,54508,4.52524076589683,14.0,738.0,45.0,0.0,1,0.0,0.0,0.0,0.0
3,1343,1343,226480,31892,0.0,0.0,990.0,81.0,0.0,0,0.0,0.0,0.0,0.0
4,5801,5801,140839,31892,0.0,0.0,396.0,72.0,0.0,0,0.0,0.0,0.0,0.0
5,3137,3137,77626,31892,0.0,0.0,594.0,75.0,0.0,0,0.0,0.0,0.0,0.0
6,3887,3887,45754,45758,1.9496601311843402,4.0,25.0,6.0,1.0,1,0.0,0.0,0.0,0.0
7,3612,3612,56136,56138,4.9829616658830895,15.0,368.0,24.0,0.0,1,0.0,0.0,0.0,0.0
8,327,327,76392,31891,0.0,0.0,18.0,9.0,0.0,0,0.0,0.0,0.0,0.0
9,458,458,45663,76391,2.3163175997826,5.0,366.0,62.0,0.0,1,0.0,0.0,0.0,0.0
10,1913,1913,34466,65525,6.7506667064954105,23.0,20295.0,625.0,0.0,1,0.0,0.0,0.0,0.0
11,5072,5072,144600,31892,0.0,0.0,528.0,74.0,0.0,0,0.0,0.0,0.0,0.0
12,4524,4524,42703,56815,6.44648109473117,22.0,1088.0,44.0,0.9702970297029699,1,0.0,0.0,0.0,0.0
13,5235,5235,160237,31892,0.0,0.0,594.0,75.0,0.0,0,0.0,0.0,0.0,0.0
14,5061,5061,32435,47133,3.6477135935830702,8.0,342.0,29.0,0.0,1,0.0,0.0,0.0,0.0
15,1233,1233,45721,31892,0.0,0.0,264.0,70.0,0.0,0,0.0,0.0,0.0,0.0
16,401,401,45662,45664,2.3518836428652596,5.0,360.0,34.0,0.0,1,0.0,0.0,0.0,0.0
17,5560,5560,216448,31892,0.0,0.0,2376.0,102.0,0.0,0,0.0,0.0,0.0,0.0
18,2051,2051,128025,31892,0.169494474237384,1.0,594.0,74.0,0.0,0,0.0,0.0,0.0,0.0
19,4846,4846,109871,31892,0.0,0.0,2508.0,104.0,0.0,0,0.0,0.0,0.0,0.0
20,2539,2539,75592,75605,9.5890865489185,36.0,2132.0,57.0,0.0,1,1.0,1.0,1.0,1.0
21,5495,5495,102288,31891,0.0,0.0,63.0,24.0,0.0,0,0.0,0.0,0.0,0.0
22,4904,4904,261293,31892,0.169494474237384,1.0,330.0,70.0,0.0,0,0.0,0.0,0.0,0.0
23,272,272,151200,31892,0.0,0.0,264.0,70.0,0.0,0,0.0,0.0,0.0,0.0
24,3470,3470,68397,68398,1.2291682155306398,2.0,9.0,4.0,1.0,1,0.0,0.0,0.0,0.0
25,5238,5238,56767,56768,3.17469056212469,7.0,64.0,9.0,0.0,1,1.0,1.0,1.0,1.0
26,4309,4309,94336,31892,0.0,0.0,726.0,77.0,0.0,0,0.0,0.0,0.0,0.0
27,2980,2980,98331,31892,0.0,0.0,1914.0,95.0,0.0,0,0.0,0.0,0.0,0.0
28,1537,1537,47596,77878,3.64095690650735,8.0,256.0,24.0,0.0,1,0.0,0.0,0.0,0.0
