,Unnamed: 0,Unnamed: 0.1,node1,node2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,similarity,label,similarity_tfidf,similarity_top_5,similarity_top_100,similarity_top_250
0,2823,2823,37881,62822,2.47104844175363,7.0,408.0,52.0,0.0,1,0.0,0.0,0.0,0.0
1,1679,1679,58599,58601,3.0047190802714403,6.0,112.0,17.0,0.0,1,0.0,0.0,0.0,0.0
2,2370,2370,59459,59460,2.69063498090789,7.0,64.0,9.0,0.0,1,0.0,0.0,0.0,0.0
3,2371,2371,46409,49447,17.746603538602,79.0,12240.0,154.0,0.0,1,0.0,0.0,0.0,0.0
4,4359,4359,122645,31892,0.0,0.0,4026.0,127.0,0.0,0,0.0,0.0,0.0,0.0
5,4178,4178,94526,31892,0.0,0.0,1584.0,90.0,0.0,0,0.0,0.0,0.0,0.0
6,50,50,164159,31891,0.0,0.0,81.0,30.0,0.0,0,0.0,0.0,0.0,0.0
7,4930,4930,57026,31891,0.0,0.0,309.0,106.0,0.0,0,0.0,0.0,0.0,0.0
8,2277,2277,64166,64172,5.35273184279595,16.0,289.0,18.0,0.0,1,0.0,0.0,0.0,0.0
9,1514,1514,50446,50448,2.22467856390108,4.0,25.0,6.0,0.0,1,0.0,0.0,0.0,0.0
10,472,472,45739,45742,4.02703485917629,10.0,198.0,19.0,0.0,1,0.0,0.0,0.0,0.0
11,130,130,58427,58430,2.25590010898389,4.0,25.0,6.0,0.0,1,0.0,0.0,0.0,0.0
12,3542,3542,203047,31892,0.0,0.0,2376.0,102.0,0.0,0,0.0,0.0,0.0,0.0
13,2866,2866,182956,31892,0.0,0.0,594.0,75.0,0.0,0,0.0,0.0,0.0,0.0
14,1023,1023,164476,31892,0.0,0.0,792.0,78.0,0.0,0,0.0,0.0,0.0,0.0
15,2308,2308,55303,55306,3.0833900542185004,6.0,231.0,34.0,0.0,1,0.0,0.0,0.0,0.0
16,2726,2726,51334,51338,2.3444617375636603,5.0,198.0,34.0,0.0,1,0.0,0.0,0.0,0.0
17,312,312,49079,49080,10.416760198294599,28.0,1711.0,60.0,0.422797089733226,1,0.0,0.0,0.0,0.0
18,162,162,266427,31892,0.0,0.0,660.0,76.0,0.0,0,0.0,0.0,0.0,0.0
19,229,229,98325,31892,0.0,0.0,4884.0,140.0,0.0,0,0.0,0.0,0.0,0.0
20,1815,1815,101316,31892,0.0,0.0,1320.0,86.0,0.0,0,0.0,0.0,0.0,0.0
21,3807,3807,274238,31891,0.0,0.0,57.0,22.0,0.0,0,0.0,0.0,0.0,0.0
22,1178,1178,196078,31891,0.0,0.0,198.0,69.0,0.0,0,0.043701799485861184,0.109375,0.03088803088803089,0.030418250950570342
23,124,124,46790,46792,1.07973370086422,2.0,9.0,4.0,1.0,1,0.0,0.0,0.0,0.0
24,519,519,191363,31892,0.0,0.0,1254.0,85.0,0.0,0,0.0,0.0,0.0,0.0
25,3197,3197,55370,55372,3.0833900542185004,6.0,49.0,8.0,0.0,1,0.0,0.0,0.0,0.0
26,2072,2072,169581,31892,0.0,0.0,990.0,81.0,0.0,0,0.0,0.0,0.0,0.0
27,5122,5122,42603,42607,3.34524852951811,8.0,81.0,10.0,0.0,1,0.0,0.0,0.0,0.0
28,2112,2112,203071,31892,0.0,0.0,2376.0,102.0,0.0,0,0.0,0.0,0.0,0.0
29,1836,1836,195030,31892,0.169494474237384,1.0,528.0,73.0,0.0,0,0.0,0.0,0.0,0.0
30,1969,1969,52886,57025,0.677551763211516,2.0,1222.0,71.0,0.0,1,0.0,0.0,0.0,0.0
31,3332,3332,102281,31892,0.0,0.0,858.0,79.0,0.0,0,0.0,0.0,0.0,0.0
32,1362,1362,51238,51240,3.38770433849173,9.0,210.0,22.0,0.0,1,0.0,0.0,0.0,0.0
33,5159,5159,54828,54832,4.990881315759482,17.0,324.0,19.0,0.0,1,0.5511811023622047,0.6046511627906976,0.48695652173913045,0.48695652173913045
34,2097,2097,55333,55335,1.3426824550040901,2.0,15.0,6.0,0.0,1,1.0,1.0,1.0,1.0
35,3663,3663,64305,64306,3.5784815122768503,8.0,81.0,10.0,0.0,1,0.17045454545454544,0.2222222222222222,0.13924050632911392,0.13924050632911392
36,632,632,73072,31892,0.0,0.0,3894.0,125.0,0.0,0,0.0,0.0,0.0,0.0
37,4529,4529,42094,59873,2.2869677690628,6.0,294.0,43.0,0.0,1,0.0,0.0,0.0,0.0
38,4238,4238,62029,62035,3.3529274187059106,8.0,81.0,10.0,0.0,1,0.0,0.0,0.0,0.0
39,1394,1394,34466,64447,3.03494571487198,7.0,7380.0,620.0,0.0,1,0.0,0.0,0.0,0.0
40,4414,4414,153056,31892,0.254334778144042,1.0,1716.0,91.0,0.0,0,0.0,0.0,0.0,0.0
41,3780,3780,184484,31892,0.233075271708509,1.0,858.0,78.0,0.0,0,0.0,0.0,0.0,0.0
42,358,358,153058,31892,0.254334778144042,1.0,1716.0,91.0,0.0,0,0.0,0.0,0.0,0.0
43,3382,3382,264375,31892,0.0,0.0,924.0,80.0,0.0,0,0.0,0.0,0.0,0.0
44,987,987,42869,42877,7.25731535758832,24.0,625.0,26.0,0.0,1,0.16164383561643836,0.09876543209876543,0.10555555555555556,0.10684931506849316
45,3763,3763,61609,31892,0.169494474237384,1.0,4554.0,134.0,0.0,0,0.0,0.0,0.0,0.0
46,1453,1453,176400,31891,0.23868315209103,1.0,54.0,20.0,0.0,0,0.0,0.0,0.0,0.0
47,3532,3532,55520,55525,3.24606384200017,7.0,64.0,9.0,1.0,1,0.0,0.0,0.0,0.0
48,2110,2110,47083,62636,4.49864842568522,16.0,5865.0,150.0,0.0,1,0.0,0.0,0.0,0.0
49,1698,1698,243050,31891,0.0,0.0,24.0,11.0,0.0,0,0.06356968215158924,0.08450704225352113,0.028268551236749116,0.028070175438596492
50,742,742,57384,57385,1.1480687401062,2.0,9.0,4.0,0.0,1,0.0,0.0,0.0,0.0
51,5024,5024,49079,62957,9.69228525372306,27.0,1652.0,60.0,0.0,1,0.0,0.0,0.0,0.0
52,948,948,79349,31892,0.0,0.0,726.0,77.0,0.0,0,0.0,0.0,0.0,0.0
53,3732,3732,128021,31892,0.169494474237384,1.0,594.0,74.0,0.0,0,0.0,0.0,0.0,0.0
54,1234,1234,140499,31891,0.0,0.0,264.0,91.0,0.0,0,0.0,0.0,0.0,0.0
55,3176,3176,35825,57912,8.54021410706972,31.0,2365.0,67.0,0.0,1,0.0,0.0,0.0,0.0
56,1284,1284,40487,56182,4.79297802489447,12.0,315.0,24.0,0.0,1,0.0,0.0,0.0,0.0
57,1854,1854,41506,31892,0.294014103795206,1.0,1254.0,84.0,0.0,0,0.0,0.0,0.0,0.0
58,2614,2614,36195,36197,3.26599052729303,9.0,110.0,12.0,1.0,1,0.464,0.4375,0.4188034188034188,0.4214876033057851
59,1187,1187,42703,56815,6.44648109473117,22.0,1088.0,44.0,0.9702970297029699,1,0.0,0.0,0.0,0.0
60,1257,1257,35814,39271,2.66253674893352,7.0,1224.0,154.0,0.0,1,0.10144927536231885,0.0,0.00819672131147541,0.008130081300813009
61,1517,1517,140377,31892,0.169494474237384,1.0,462.0,72.0,0.0,0,0.0,0.0,0.0,0.0
62,2933,2933,128691,31891,0.0,0.0,27.0,12.0,0.0,0,0.0,0.0,0.0,0.0
63,2786,2786,46635,46636,2.2059877293552,5.0,36.0,7.0,0.0,1,0.0,0.0,0.0,0.0
64,3441,3441,162331,31892,0.0,0.0,2046.0,97.0,0.0,0,0.0,0.0,0.0,0.0
65,1848,1848,236348,31891,0.0,0.0,36.0,15.0,0.0,0,0.1096938775510204,0.15625,0.07806691449814127,0.07720588235294118
66,140,140,64988,64999,4.20480781345128,12.0,325.0,26.0,0.0,1,0.0,0.0,0.0,0.0
67,77,77,257508,31892,0.0,0.0,1188.0,84.0,0.0,0,0.0,0.0,0.0,0.0
68,1253,1253,48213,48218,3.63914493225672,10.0,341.0,32.0,0.0,1,0.0,0.0,0.0,0.0
69,4916,4916,49138,31892,0.0,0.0,1452.0,88.0,0.0,0,0.0,0.0,0.0,0.0
70,2799,2799,56270,56810,4.045646590954831,14.0,1403.0,70.0,0.0,1,0.0,0.0,0.0,0.0
71,3392,3392,185719,31892,0.0,0.0,792.0,78.0,0.0,0,0.0,0.0,0.0,0.0
72,3013,3013,45663,31891,0.0,0.0,183.0,64.0,0.0,0,0.0,0.0,0.0,0.0
73,1599,1599,61604,61606,1.36663001796839,4.0,25.0,6.0,1.0,1,0.0,0.0,0.0,0.0
74,657,657,54829,31892,0.0,0.0,1188.0,84.0,0.0,0,0.0,0.0,0.0,0.0
75,247,247,63043,63046,4.90624126769836,12.0,340.0,25.0,0.0,1,0.0,0.0,0.0,0.0
76,1976,1976,50421,50424,2.986524103273,6.0,49.0,8.0,1.0,1,0.0,0.0,0.0,0.0
77,594,594,67016,31892,0.0,0.0,1188.0,84.0,0.0,0,0.0,0.0,0.0,0.0
78,2433,2433,40915,40918,2.14758329573017,4.0,25.0,6.0,0.0,1,0.0,0.0,0.0,0.0
79,3086,3086,62781,63201,1.6759400104515,4.0,98.0,17.0,0.0,1,0.0,0.0,0.0,0.0
80,1656,1656,60808,31892,0.232338493574117,1.0,594.0,74.0,0.0,0,0.0,0.0,0.0,0.0
