,Unnamed: 0,Unnamed: 0.1,node1,node2,adamic_adar,common_neighbors,preferential_attachment,total_neighbors,similarity,label,similarity_tfidf,similarity_top_5,similarity_top_100,similarity_top_250
0,150,150,37515,37519,4.32851645592004,11.0,360.0,31.0,0.0,1,1.0,1.0,1.0,1.0
1,283,283,118089,31891,0.0,0.0,120.0,43.0,0.0,0,0.0,0.0,0.0,0.0
2,663,663,138496,31891,0.23868315209103,1.0,21.0,9.0,0.0,0,0.00558659217877095,0.017857142857142856,0.0044444444444444444,0.004405286343612335
3,568,568,77628,31891,0.267546386419054,1.0,72.0,26.0,0.0,0,0.0,0.0,0.0,0.0
4,16,16,32959,32968,5.32434022085387,15.0,256.0,17.0,0.0,1,0.0,0.0,0.0,0.0
5,563,563,32150,32151,2.16404256133344,3.0,16.0,5.0,1.0,1,0.0,0.0,0.0,0.0
6,664,664,229461,31891,0.0,0.0,15.0,8.0,0.0,0,0.08244680851063829,0.18461538461538463,0.05263157894736842,0.05220883534136546
7,89,89,37889,37891,0.0,0.0,27.0,28.0,0.0,1,0.0,0.0,0.0,0.0
8,186,186,117363,31891,0.0,0.0,9.0,6.0,0.0,0,0.03208556149732621,0.045454545454545456,0.012396694214876033,0.012295081967213115
9,430,430,34563,34565,1.44269504088896,1.0,4.0,3.0,1.0,1,0.0,0.0,0.0,0.0
10,494,494,113930,31891,0.0,0.0,141.0,50.0,0.0,0,0.0,0.0,0.0,0.0
11,623,623,238502,31891,0.0,0.0,42.0,17.0,0.0,0,0.12658227848101267,0.15476190476190477,0.07471264367816093,0.07323943661971831
12,443,443,32969,32973,5.32434022085387,15.0,256.0,17.0,0.0,1,0.0,0.0,0.0,0.0
13,508,508,37411,37418,5.29772596784572,16.0,289.0,18.0,0.0,1,0.24583333333333332,0.23563218390804597,0.1767180925666199,0.1746905089408528
14,585,585,263232,31891,0.23868315209103,1.0,21.0,9.0,0.0,0,0.0,0.0,0.0,0.0
15,25,25,33282,33283,2.56090124495804,5.0,42.0,8.0,0.0,1,0.0,0.0,0.0,0.0
16,211,211,36710,36714,3.85327903691596,9.0,100.0,11.0,0.0,1,1.0,1.0,1.0,1.0
17,302,302,89489,31891,0.0,0.0,120.0,43.0,0.0,0,0.0,0.0,0.0,0.0
18,90,90,37805,37810,2.178687829395629,4.0,25.0,6.0,1.0,1,0.0,0.0,0.0,0.0
19,153,153,180263,31891,0.0,0.0,54.0,21.0,0.0,0,0.0,0.0,0.0,0.0
20,402,402,35781,35785,1.44269504088896,1.0,4.0,3.0,0.0,1,0.0,0.0,0.0,0.0
21,265,265,35486,35491,4.64291649394233,10.0,121.0,12.0,0.0,1,0.0,0.0,0.0,0.0
22,46,46,37512,37517,4.2201009553334,11.0,144.0,13.0,0.0,1,0.41192411924119243,0.4177215189873418,0.2972972972972973,0.2958579881656805
23,169,169,32960,32968,5.32434022085387,15.0,256.0,17.0,0.0,1,0.0,0.0,0.0,0.0
24,510,510,57364,31891,0.0,0.0,195.0,68.0,0.0,0,0.0,0.0,0.0,0.0
25,78,78,153068,31891,0.0,0.0,78.0,29.0,0.0,0,0.14285714285714285,0.23157894736842105,0.08173076923076923,0.08037825059101655
26,498,498,37402,37411,5.29772596784572,16.0,289.0,18.0,0.0,1,0.0,0.0,0.0,0.0
27,553,553,37410,37420,5.29772596784572,16.0,289.0,18.0,0.0,1,1.0,1.0,1.0,1.0
28,426,426,100456,31891,0.0,0.0,237.0,82.0,0.0,0,0.08374384236453201,0.14473684210526316,0.05338078291814947,0.053003533568904596
29,202,202,53147,31891,0.0,0.0,705.0,238.0,0.0,0,0.06153846153846154,0.07142857142857142,0.026217228464419477,0.026022304832713755
30,326,326,37409,37413,5.29772596784572,16.0,289.0,18.0,0.0,1,0.0,0.0,0.0,0.0
31,671,671,176392,31891,0.23868315209103,1.0,36.0,14.0,0.0,0,0.08951406649616368,0.08571428571428572,0.03461538461538462,0.03435114503816794
32,450,450,36285,36291,2.35259608610734,6.0,252.0,37.0,0.0,1,0.0,0.0,0.0,0.0
33,174,174,36705,36711,3.85327903691596,9.0,100.0,11.0,1.0,1,0.0,0.0,0.0,0.0
34,678,678,37749,37750,3.64095690650735,8.0,99.0,12.0,0.0,1,1.0,1.0,1.0,1.0
35,24,24,32958,32963,5.32434022085387,15.0,256.0,17.0,0.0,1,1.0,1.0,1.0,1.0
36,115,115,239634,31891,0.0,0.0,30.0,13.0,0.0,0,0.0,0.0,0.0,0.0
37,560,560,36400,36404,1.82047845325367,2.0,9.0,4.0,1.0,1,0.0,0.0,0.0,0.0
38,562,562,179378,31891,0.0,0.0,9.0,6.0,0.0,0,0.04736842105263158,0.031746031746031744,0.008032128514056224,0.00796812749003984
39,514,514,37747,37750,3.64095690650735,8.0,99.0,12.0,0.0,1,1.0,1.0,1.0,1.0
40,630,630,35725,36526,3.35783293461977,8.0,730.0,75.0,0.0,1,0.0,0.0,0.0,0.0
41,446,446,76393,31891,0.506229538510084,2.0,195.0,66.0,0.0,0,0.0,0.0,0.0,0.0
42,350,350,176395,31891,0.23868315209103,1.0,36.0,14.0,0.0,0,0.08951406649616368,0.08571428571428572,0.03461538461538462,0.03435114503816794
43,31,31,37514,37517,4.2765543034540485,11.0,216.0,19.0,0.0,1,0.41192411924119243,0.4177215189873418,0.2972972972972973,0.2958579881656805
44,427,427,87323,31891,0.0,0.0,30.0,13.0,0.0,0,0.0,0.0,0.0,0.0
45,321,321,141162,31891,0.0,0.0,39.0,16.0,0.0,0,0.0,0.0,0.0,0.0
46,94,94,81818,31891,0.0,0.0,30.0,13.0,0.0,0,0.07888040712468193,0.06944444444444445,0.04059040590405904,0.040293040293040296
47,114,114,274241,31891,0.0,0.0,57.0,22.0,0.0,0,0.0,0.0,0.0,0.0
48,476,476,34565,34566,1.44269504088896,1.0,4.0,3.0,0.0,1,0.0,0.0,0.0,0.0
49,311,311,35373,35376,1.16210987537854,2.0,18.0,7.0,0.602996254681648,1,0.0,0.0,0.0,0.0
50,517,517,59871,31891,0.0,0.0,60.0,23.0,0.0,0,0.05929919137466307,0.1111111111111111,0.036885245901639344,0.036290322580645164
51,131,131,36710,36712,3.85327903691596,9.0,100.0,11.0,0.0,1,1.0,1.0,1.0,1.0
52,17,17,100084,31891,0.506229538510084,2.0,219.0,74.0,0.0,0,0.0,0.0,0.0,0.0
53,428,428,100082,31891,0.23868315209103,1.0,24.0,10.0,0.0,0,0.0,0.0,0.0,0.0
54,292,292,37881,37887,12.8264764613403,37.0,4947.0,111.0,0.0,1,0.0,0.0,0.0,0.0
55,343,343,37741,37747,3.6028696846181805,8.0,81.0,10.0,0.0,1,0.045081967213114756,0.057971014492753624,0.020242914979757085,0.02
56,69,69,37748,37749,3.6028696846181805,8.0,81.0,10.0,0.0,1,1.0,1.0,1.0,1.0
57,277,277,37808,37809,2.34490315064182,4.0,45.0,10.0,0.645933014354067,1,0.7687861271676301,0.7872340425531915,0.7246376811594203,0.7214285714285714
58,515,515,165376,31891,0.506229538510084,2.0,33.0,12.0,0.0,0,0.0,0.0,0.0,0.0
59,271,271,36457,36459,1.82047845325367,2.0,9.0,4.0,1.0,1,1.0,1.0,1.0,1.0
60,575,575,37510,37511,4.2201009553334,11.0,144.0,13.0,0.0,1,0.0,0.0,0.0,0.0
61,68,68,32123,32130,2.4191046988122498,5.0,108.0,19.0,0.0,1,0.0,0.0,0.0,0.0
62,262,262,37222,37228,2.48533973823845,4.0,25.0,6.0,0.0,1,0.0,0.0,0.0,0.0
63,647,647,34236,34238,3.0833900542185004,6.0,49.0,8.0,1.0,1,0.0,0.0,0.0,0.0
64,491,491,37596,37601,5.97127512000187,17.0,644.0,34.0,0.0,1,0.0,0.0,0.0,0.0
65,384,384,38007,38010,4.67845494301536,12.0,169.0,14.0,0.0,1,0.0,0.0,0.0,0.0
66,40,40,31891,31892,1.17778561304589,2.0,198.0,67.0,0.0,1,0.0,0.0,0.0,0.0
67,617,617,37597,37598,22.5471649222692,60.0,4554.0,75.0,0.855466916940403,1,0.0,0.0,0.0,0.0
68,596,596,32961,32967,5.32434022085387,15.0,256.0,17.0,0.0,1,0.0,0.0,0.0,0.0
69,579,579,237930,31891,0.0,0.0,24.0,11.0,0.0,0,0.057441253263707574,0.04918032786885246,0.011904761904761904,0.011764705882352941
70,248,248,34670,34675,1.82047845325367,2.0,261.0,88.0,0.0,1,0.0,0.0,0.0,0.0
71,483,483,41939,31891,0.0,0.0,99.0,36.0,0.0,0,0.002777777777777778,0.0,0.0,0.0
72,272,272,36457,36459,1.82047845325367,2.0,9.0,4.0,1.0,1,1.0,1.0,1.0,1.0
73,309,309,36708,36711,3.85327903691596,9.0,100.0,11.0,0.0,1,0.0,0.0,0.0,0.0
74,164,164,37512,37513,4.2201009553334,11.0,144.0,13.0,0.0,1,1.0,1.0,1.0,1.0
75,122,122,238505,31891,0.0,0.0,42.0,17.0,0.0,0,0.12658227848101267,0.15476190476190477,0.07471264367816093,0.07323943661971831
